song_id,name,difficulty,unofficial_diff,ec_diff,hc_diff,exh_diff,ec_count,hc_count,exh_count
1791,YAKSHA,ANOTHER,12.4,6.4,8.8,11.4,1806,1019,220
1794,"yellow head joe",ANOTHER,12.0,1.3,4.9,8.6,2789,2203,805
1806,"君のハートにロックオン",ANOTHER,12.5,8.2,10.5,12.9,1211,497,70
1809,"子供の落書き帳",ANOTHER,12.0,1.1,6.0,9.7,2790,1889,541
1818,"聖人の塔",ANOTHER,12.4,7.7,10.0,12.3,1260,611,107
1821,"天空の夜明け",ANOTHER,12.6,10.2,11.5,13.3,585,265,52
1830,"恋する☆宇宙戦争っ！！",ANOTHER,12.0,1.2,5.1,8.7,2870,2197,811
1833,"†渚の小悪魔ラヴリィ～レイディオ†(IIDX EDIT)",ANOTHER,12.7,11.2,13.4,14.2,314,51,5
1857,Confiserie,ANOTHER,12.6,9.7,11.2,13.3,734,324,51
1866,"DAY DREAM",ANOTHER,12.2,5.5,9.4,12.3,1552,676,101
1869,"Devilz Staircase",ANOTHER,12.3,4.5,8.1,11.7,2162,1195,160
1875,"Elemental Creation",ANOTHER,12.6,10.3,11.3,13.5,498,279,40
1881,FLOWER,ANOTHER,12.1,1.5,6.2,9.6,2826,1931,605
1887,GAIA,ANOTHER,12.3,5.6,8.9,11.7,2058,993,184
1893,"Hollywood Galaxy",ANOTHER,12.2,3.1,7.7,10.9,2485,1368,312
1911,JOMANDA,ANOTHER,12.2,4.2,10.2,12.6,2044,519,83
1914,Liberation,ANOTHER,11.8,0.9,3.1,7.6,2938,2536,1124
1920,"Little Star",ANOTHER,12.0,1.0,5.2,9.6,2911,2136,570
1932,neu,ANOTHER,12.4,7.5,9.9,12.5,1428,691,98
1941,"Plan 8",ANOTHER,12.3,4.5,8.9,12.1,2197,898,108
1953,"Proof of the existence",ANOTHER,12.4,5.5,7.9,10.8,2114,1364,327
1962,"rumrum triplets",ANOTHER,11.8,1.0,5.6,9.4,2826,2014,606
1977,"Sol Cosine Job 2",ANOTHER,12.3,5.4,8.3,11.1,1918,1128,248
1983,STULTI,ANOTHER,12.5,8.4,10.6,13.3,1020,440,46
1986,SYNC-ANTHEM,ANOTHER,12.2,4.5,7.2,10.0,2277,1533,483
1995,"Thor's Hammer",ANOTHER,12.5,7.9,10.9,13.2,1263,363,52
2001,"Timepiece phase II",ANOTHER,12.4,7.7,10.2,12.5,1271,585,90
2004,"Timepiece phase II (CN Ver.)",ANOTHER,12.4,6.6,8.9,11.6,1627,984,192
2010,"True Blue",ANOTHER,12.1,1.5,5.9,9.0,2797,1978,744
2013,Valanga,ANOTHER,12.4,6.9,9.3,12.0,1682,900,147
2028,Zirkfied,ANOTHER,12.4,6.9,9.6,12.2,1592,792,122
2031,"ΕΛΠΙΣ",ANOTHER,12.1,1.6,6.3,9.7,2768,1835,562
2034,"アストライアの双皿",ANOTHER,12.3,5.0,8.5,12.1,2005,1032,109
2040,"カジノファイヤーことみちゃん",ANOTHER,12.1,2.4,10.7,13.5,2373,399,36
2043,"キャトられ恋はモ～モク",ANOTHER,12.4,7.4,10.7,13.2,1419,451,52
2046,"シュレーディンガーの猫",ANOTHER,12.3,5.8,10.0,12.5,1922,626,96
2049,"たまゆら",ANOTHER,12.3,5.0,7.4,10.2,2146,1501,438
2052,"トリカゴノ鳳凰",ANOTHER,12.0,1.0,4.5,8.5,2808,2228,810
2061,"音楽",ANOTHER,12.2,4.2,8.8,12.2,1901,877,116
2068,"仮想空間の旅人たち",LEGGENDARIA,12.3,5.5,7.7,10.3,1811,1264,394
2071,"狂イ咲ケ焔ノ華",ANOTHER,12.1,2.1,7.6,11.1,2510,1371,239
2077,"即席！脳直★ミュージックシステム",ANOTHER,12.0,1.5,5.7,9.4,2588,1890,572
2090,Adularia,ANOTHER,12.2,3.6,7.6,10.9,2414,1400,286
2096,"Ancient Scapes",ANOTHER,12.3,4.8,8.2,11.2,2180,1177,243
2097,"Ancient Scapes",LEGGENDARIA,12.5,8.5,10.7,13.0,1026,417,62
2109,BRAINSTORM,ANOTHER,11.8,1.0,5.6,10.2,2785,1910,359
2121,"Close the World feat.a☆ru",ANOTHER,12.1,1.2,6.3,10.0,2890,1828,500
2122,"Close the World feat.a☆ru",LEGGENDARIA,12.4,6.1,9.3,12.0,1763,854,149
2131,"DARK LEGACY",ANOTHER,12.3,5.3,8.8,11.6,2069,1025,187
2140,"Elektrick U-Phoria",ANOTHER,12.0,1.5,6.5,10.0,2605,1704,473
2156,"Feel The Beat",LEGGENDARIA,12.2,3.2,7.5,10.6,2197,1316,321
2168,"I will be back -オレは帰ってきた-",ANOTHER,12.2,3.7,7.5,10.5,2214,1346,335
2171,Idola,ANOTHER,12.4,6.3,9.0,11.6,1817,977,203
2180,INSOMNIA,ANOTHER,12.2,3.0,10.2,12.6,2342,534,82
2186,invoker,ANOTHER,12.3,5.1,7.5,10.9,2038,1366,263
2187,invoker,LEGGENDARIA,12.4,6.8,9.4,12.3,1360,768,97
2190,IX,ANOTHER,12.6,9.9,11.4,13.4,673,284,43
2202,"Last Dance",ANOTHER,12.3,5.0,7.9,10.6,2189,1325,366
2235,PUNISHER,ANOTHER,12.2,3.4,7.1,10.3,2467,1560,422
2238,"ra'am",ANOTHER,12.5,8.1,10.4,13.1,1083,480,57
2241,"rainbow guitar weeps",ANOTHER,12.1,2.2,7.0,10.2,2599,1597,435
2253,"RIZING YOU UP",ANOTHER,12.2,3.9,8.4,11.6,2276,1075,174
2259,Sigmund,ANOTHER,12.6,9.7,11.7,13.8,748,216,18
2260,Sigmund,LEGGENDARIA,12.7,11.4,12.7,14.1,271,99,6
2272,"Unicorn tail",ANOTHER,12.1,1.9,6.4,9.8,2616,1758,538
2278,Verflucht,ANOTHER,12.4,7.4,10.4,12.7,1498,525,86
2279,Verflucht,LEGGENDARIA,12.6,9.3,11.2,13.3,854,322,47
2282,"VOX UP",ANOTHER,12.5,6.9,10.5,13.6,1457,481,32
2297,"バンブーソード・ガール",ANOTHER,12.3,4.0,7.8,11.1,2181,1282,254
2300,"海神",ANOTHER,12.3,4.6,7.3,10.3,2251,1489,411
2309,"轟け！恋のビーンボール！！",ANOTHER,12.2,3.3,8.2,11.5,2416,1190,213
2315,"疾風迅雷",ANOTHER,12.4,6.3,9.0,12.3,1650,900,108
2316,"疾風迅雷",LEGGENDARIA,12.6,9.8,11.7,13.7,640,222,25
2319,"旋律のドグマ～Miserables～",ANOTHER,12.4,6.4,9.2,11.7,1746,932,177
2331,"煉獄のエルフェリア",ANOTHER,12.5,8.2,11.0,13.2,1230,361,55
2344,"Beat Radiance",LEGGENDARIA,12.3,5.3,8.0,10.7,1886,1158,299
2356,"Broken Sword",ANOTHER,12.3,4.7,7.3,10.0,2226,1500,464
2367,"CHRONO DIVER -NORNIR-",LEGGENDARIA,12.7,10.8,12.1,13.9,377,162,13
2370,"Chrono Diver -PENDULUMs-",ANOTHER,12.7,10.6,12.4,14.0,478,120,9
2376,cinder,ANOTHER,12.2,3.6,7.4,10.5,2251,1383,354
2383,"Cosmic Cat",LEGGENDARIA,12.4,7.5,9.7,12.2,1206,678,109
2386,"Despair of ELFERIA",ANOTHER,12.3,5.2,8.2,11.2,2124,1210,242
2389,"EBONY & IVORY",ANOTHER,12.4,7.2,9.9,12.0,1504,659,143
2390,"EBONY & IVORY",LEGGENDARIA,12.6,9.4,11.5,13.6,712,230,29
