song_id,name,difficulty,unofficial_diff,ec_diff,hc_diff,exh_diff
3959,"THE BRAVE MUST DIE",ANOTHER,12.4,7.2,10.3,12.7
3962,TRIUMPH,ANOTHER,12.2,2.7,5.9,9.8
3992,"深淵に捧ぐレクイエム",ANOTHER,12.0,1.0,5.4,9.3
4000,"one or eight",LEGGENDARIA,12.2,3.6,7.9,11.2
4001,"千年ノ理",LEGGENDARIA,12.6,9.6,11.6,13.5
4013,"LIGHTNING STRIKES",ANOTHER,12.3,4.9,7.8,10.6
4025,"AKASHIC BREAK",ANOTHER,12.1,1.5,7.1,10.5
4034,"華麗なる大犬円舞曲",ANOTHER,12.3,5.2,8.1,11.1
4040,"Inferno of Fomalhaut",ANOTHER,12.5,8.2,10.0,12.7
4046,"SCREW // owo // SCREW",ANOTHER,12.3,2.8,6.9,11.2
4055,"Rave Patroller",ANOTHER,12.1,1.8,5.5,8.9
4058,"THE F∀UST",ANOTHER,12.5,8.0,10.3,12.5
4070,"Lords Of The Roundtable",ANOTHER,12.3,3.7,7.4,11.5
4073,"Matt Silver",ANOTHER,12.3,6.3,7.7,10.3
4077,POODLE,LEGGENDARIA,12.1,1.8,6.2,9.6
4078,"TITANS RETURN",LEGGENDARIA,12.5,7.4,11.0,13.4
4081,"がっつり陰キャ!? 怪盗いいんちょの億劫^^;",ANOTHER,12.4,7.1,9.2,11.6
4087,"LASER CRUSTER (IGNITE REMIX)",ANOTHER,12.3,4.8,8.3,11.2
4105,"BEAT PRISONER",ANOTHER,12.4,5.9,8.4,11.5
4108,"Double Dribble",ANOTHER,12.2,3.4,6.4,9.5
4111,"Level 2",ANOTHER,12.4,6.1,8.9,11.7
4123,"Vinculum stellarum",ANOTHER,12.3,5.5,8.2,11.0
4131,ZEPHYRANTHES,LEGGENDARIA,12.4,6.1,8.6,11.6
4134,"Everlasting Message",ANOTHER,12.5,7.3,10.3,13.1
4137,Artist,ANOTHER,12.4,7.2,9.9,12.6
4140,Friction[!]Function,ANOTHER,12.2,2.8,6.8,10.3
4152,"ピアノ協奏曲第1番”蠍火” (BlackY Remix)",ANOTHER,12.6,8.5,10.0,12.8
4162,TRANOID,LEGGENDARIA,12.6,10.2,11.8,13.5
4168,"魅惑のYUMMYスイーツ",ANOTHER,12.5,7.5,10.4,13.1
4172,Secrets,LEGGENDARIA,12.4,6.8,9.4,11.7
4178,ORCA,ANOTHER,12.4,7.0,9.7,12.4
4187,"Dans la nuit de l'eternite",ANOTHER,12.3,4.2,8.2,11.5
4193,EROICA,ANOTHER,12.7,11.0,13.0,14.2
4199,"Smashing Wedge",ANOTHER,12.5,7.8,9.9,12.4
4205,"Megalara Garuda",ANOTHER,12.2,2.8,7.3,10.5
4213,GuNGNiR,LEGGENDARIA,12.7,11.0,13.0,14.0
4225,"BIGソムタム",ANOTHER,12.1,2.4,6.0,9.4
4237,"Empire of Fury",ANOTHER,12.3,5.4,8.4,11.5
4312,Vitrum,ANOTHER,12.1,1.3,5.8,9.2
4321,"∀",ANOTHER,12.5,8.1,10.4,12.7
4330,"水鏡の異界",ANOTHER,12.3,4.4,7.9,11.0
4345,"魔法のかくれんぼ",ANOTHER,12.3,6.1,9.0,11.9
4346,"Arabian Rave Night",LEGGENDARIA,12.3,4.1,7.6,10.5
4351,"お米の美味しい炊き方、そしてお米を食べることによるその効果。",LEGGENDARIA,12.5,7.0,9.8,12.7
4366,"THE PEERLESS UNDER HEAVEN",ANOTHER,12.4,7.0,9.4,12.2
4375,Viridian,ANOTHER,12.4,6.6,8.5,11.0
4381,"閠槞彁の願い",ANOTHER,12.5,7.6,9.9,12.4
4402,"ASIAN VIRTUAL REALITIES (MELTING TOGETHER IN DAZZLING DARKNESS)",ANOTHER,12.3,4.2,7.6,10.8
4408,MEGAERA,ANOTHER,12.5,7.7,10.3,12.6
4411,"Rubrum Piano",ANOTHER,12.0,1.2,4.7,8.0
4414,"SOLID STATE SQUAD -RISEN RELIC REMIX-",ANOTHER,12.3,5.7,8.3,11.4
4423,"Dawn Saga",ANOTHER,12.1,1.4,5.7,8.8
4426,"-65℃",ANOTHER,12.5,8.1,10.2,12.7
4432,"Tiempo Loco",ANOTHER,12.3,5.9,8.2,10.9
4435,"innocent revolver",ANOTHER,12.3,5.6,7.9,10.9
4450,"バッド・スイーツ、バッド・ドリーム",ANOTHER,12.0,1.0,4.9,9.5
