song_id,name,difficulty,level,unofficial_diff
05009-5-0,"in my eyes",HYPER,8,8.5
05009-7-0,"in my eyes",ANOTHER,10,10.5
05010-5-0,INSERTiON,HYPER,7,7.0
05010-7-0,INSERTiON,ANOTHER,8,9.3
05011-7-0,"Kiss me all night long",ANOTHER,7,8.0
05013-7-0,"Mobo☆Moga",ANOTHER,9,9.0
05014-5-0,"outer wall",HYPER,7,7.5
05014-7-0,"outer wall",ANOTHER,10,10.5
05015-7-0,"OVER THE CLOUDS",ANOTHER,9,9.0
05016-5-0,QQQ,HYPER,12,12.1
05017-5-0,"Radical Faith",HYPER,11,11.2
05017-7-0,"Radical Faith",ANOTHER,10,10.7
05018-5-0,Real,HYPER,9,8.0
05018-7-0,Real,ANOTHER,11,10.2
05019-5-0,Regulus,HYPER,10,10.2
05019-7-0,Regulus,ANOTHER,11,11.6
05021-5-0,"RIDE ON THE LIGHT (HI GREAT MIX)",HYPER,8,8.0
05021-7-0,"RIDE ON THE LIGHT (HI GREAT MIX)",ANOTHER,9,9.3
05021-9-0,"RIDE ON THE LIGHT (HI GREAT MIX)",LEGGENDARIA,10,10.5
05023-5-0,sometime,HYPER,8,8.5
05023-7-0,sometime,ANOTHER,8,8.5
05024-5-0,"Spin the disc",HYPER,10,10.2
05025-7-0,"STILL IN MY HEART",ANOTHER,11,11.6
05026-5-0,"still my words",HYPER,7,7.5
05027-5-0,sync,HYPER,9,9.3
05027-7-0,sync,ANOTHER,11,11.0
05028-7-0,tablets,ANOTHER,9,8.5
05029-7-0,"THE CUBE",ANOTHER,11,11.6
05031-5-0,V,HYPER,10,10.5
05031-7-0,V,ANOTHER,11,11.6
05032-5-0,"VIRTUAL MIND",HYPER,8,7.5
05032-7-0,"VIRTUAL MIND",ANOTHER,11,10.7
06001-5-0,"19,November",HYPER,7,7.5
06001-7-0,"19,November",ANOTHER,10,10.0
06002-5-0,"A New Morning",HYPER,7,8.5
06003-5-0,"BALLAD FOR YOU ～想いの雨～",HYPER,8,7.5
06005-5-0,"Blueberry Stream",HYPER,9,9.6
06005-7-0,"Blueberry Stream",ANOTHER,10,10.5
06006-5-0,Buffalo,HYPER,8,7.5
06006-7-0,Buffalo,ANOTHER,10,10.7
06006-9-0,Buffalo,LEGGENDARIA,11,11.4
06007-5-0,"Colors (radio edit)",HYPER,10,10.5
06007-7-0,"Colors (radio edit)",ANOTHER,12,11.8
06008-5-1,"Comment te dire adieu",HYPER,7,7.5
06008-7-1,"Comment te dire adieu",ANOTHER,8,8.5
06009-5-0,"DIVE ～INTO YOUR HEART～",HYPER,8,9.0
06009-7-0,"DIVE ～INTO YOUR HEART～",ANOTHER,10,10.5
06011-5-0,"Five Regrets",HYPER,8,8.5
06012-5-0,"Flowtation (Original Mix)",HYPER,7,9.3
06013-5-0,"Fly Away (Instrumental)",HYPER,7,8.5
06014-5-0,"fly through the night",HYPER,8,8.0
06014-7-0,"fly through the night",ANOTHER,10,10.0
06016-5-0,"Frozen Ray (original mix)",HYPER,9,8.5
06016-7-0,"Frozen Ray (original mix)",ANOTHER,9,8.5
06017-5-0,G2,HYPER,7,7.5
06017-7-0,G2,ANOTHER,12,12.3
06019-5-0,"JUST DO IT",HYPER,7,7.0
06020-5-0,"L'amour et la liberté (6th)",HYPER,8,9.6
06020-5-1,"L'amour et la liberté (EPO)",HYPER,8,8.5
06020-7-0,"L'amour et la liberté",ANOTHER,10,10.7
06021-5-0,Linus,HYPER,9,9.6
06021-7-0,Linus,ANOTHER,11,11.8
06022-5-0,M-02stp.ver.1.01,HYPER,7,9.3
06023-5-0,NEMESIS,HYPER,10,11.0
06023-7-0,NEMESIS,ANOTHER,12,12.7
06024-5-0,"NIGHT OF FIRE",HYPER,7,7.5
06025-5-0,"PARAPARA PARADISE",HYPER,7,9.3
06026-5-0,"REAL LOVE",HYPER,7,8.0
06028-5-0,rottel-da-sun,HYPER,8,8.5
06029-5-0,"route 80s",HYPER,11,11.2
06029-7-0,"route 80s",ANOTHER,12,12.0
06031-5-0,"Summer Vacation (CU MIX)",HYPER,12,12.0
06032-5-0,"Take It Easy",HYPER,11,11.6
06034-5-0,"VJ ARMY (6th)",HYPER,7,8.0
06034-5-1,"VJ ARMY (ROOT)",HYPER,8,8.5
06034-7-0,"VJ ARMY (6th)",ANOTHER,10,10.5
